Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,2.770000,2.820000,1.750000,2.200000,2.200000,355489300
2016-02-01,2.170000,2.190000,1.810000,2.140000,2.140000,192749800
2016-03-01,2.160000,2.980000,2.120000,2.850000,2.850000,333321700
2016-04-01,2.790000,3.990000,2.600000,3.550000,3.550000,472576300
2016-05-01,3.580000,4.710000,3.450000,4.570000,4.570000,394438600
2016-06-01,4.600000,5.520000,4.070000,5.140000,5.140000,625642500
2016-07-01,5.090000,7.160000,4.820000,6.860000,6.860000,700562400
2016-08-01,6.890000,8.000000,6.150000,7.400000,7.400000,606398900
2016-09-01,7.180000,7.640000,5.660000,6.910000,6.910000,1041904000
2016-10-01,6.950000,7.530000,6.240000,7.230000,7.230000,869559700
2016-11-01,7.320000,9.230000,6.220000,8.910000,8.910000,990277900
2016-12-01,8.920000,12.420000,8.260000,11.340000,11.340000,1155647500
2017-01-01,11.420000,11.690000,9.420000,10.370000,10.370000,878890400
2017-02-01,10.900000,15.550000,10.810000,14.460000,14.460000,1571999700
2017-03-01,15.080000,15.090000,12.380000,14.550000,14.550000,1733593200
2017-04-01,14.600000,14.740000,12.220000,13.300000,13.300000,943383500
2017-05-01,13.430000,13.630000,9.850000,11.190000,11.190000,1716437000
2017-06-01,11.250000,14.670000,10.570000,12.480000,12.480000,2208152100
2017-07-01,12.570000,15.650000,12.130000,13.610000,13.610000,1710461400
2017-08-01,13.720000,13.930000,11.860000,13.000000,13.000000,1190382100
2017-09-01,13.120000,14.240000,12.040000,12.750000,12.750000,1209201600
2017-10-01,12.800000,14.410000,10.650000,10.990000,10.990000,1358068500
2017-11-01,11.250000,12.270000,10.660000,10.890000,10.890000,1039199400
2017-12-01,10.810000,11.190000,9.700000,10.280000,10.280000,795755000
2018-01-01,10.420000,13.850000,10.340000,13.740000,13.740000,1335288900
2018-02-01,13.620000,13.840000,10.630000,12.110000,12.110000,1103985800
2018-03-01,12.260000,12.820000,9.790000,10.050000,10.050000,1483511900
2018-04-01,9.990000,11.360000,9.040000,10.880000,10.880000,1163360900
2018-05-01,10.830000,13.950000,10.770000,13.730000,13.730000,1020602700
2018-06-01,13.980000,17.340000,13.920000,14.990000,14.990000,1632781900
2018-07-01,14.800000,20.180000,14.740000,18.330000,18.330000,1456419400
2018-08-01,18.340000,27.299999,18.000000,25.170000,25.170000,2201119100
2018-09-01,25.620001,34.139999,25.570000,30.889999,30.889999,3063055900
2018-10-01,30.690001,31.910000,16.170000,18.209999,18.209999,2655213100
2018-11-01,18.410000,22.219999,17.180000,21.299999,21.299999,2140346900
2018-12-01,22.480000,23.750000,16.030001,18.459999,18.459999,1981674300
2019-01-01,18.010000,25.139999,16.940001,24.410000,24.410000,2311913200
2019-02-01,24.610001,25.520000,22.270000,23.530001,23.530001,1301360800
2019-03-01,23.969999,28.110001,21.040001,25.520000,25.520000,1499160400
2019-04-01,26.420000,29.950001,25.830000,27.629999,27.629999,1275793800
2019-05-01,28.950001,29.670000,26.030001,27.410000,27.410000,1675142900
2019-06-01,28.750000,34.299999,27.290001,30.370001,30.370001,1578411200
2019-07-01,31.790001,34.860001,30.100000,30.450001,30.450001,1155469400
2019-08-01,30.500000,35.549999,27.650000,31.450001,31.450001,1645871800
2019-09-01,30.830000,32.049999,28.350000,28.990000,28.990000,1012749700
2019-10-01,29.049999,34.340000,27.430000,33.930000,33.930000,1067281800
2019-11-01,34.369999,41.790001,34.099998,39.150002,39.150002,1202279900
2019-12-01,39.320000,47.310001,37.150002,45.860001,45.860001,982440800
2020-01-01,46.860001,52.810001,46.099998,47.000000,47.000000,1227882000
2020-02-01,46.400002,59.270000,41.040001,45.480000,45.480000,1283146900
2020-03-01,47.419998,50.200001,36.750000,45.480000,45.480000,2095887300
2020-04-01,44.180000,58.630001,41.700001,52.389999,52.389999,1714615700
2020-05-01,51.070000,56.980000,49.090000,53.799999,53.799999,1192698100
2020-06-01,53.310001,59.000000,48.419998,52.610001,52.610001,1174606200
2020-07-01,52.630001,78.959999,51.599998,77.430000,77.430000,1563684800
2020-08-01,78.190002,92.639999,76.099998,90.820000,90.820000,1220335300
2020-09-01,91.919998,94.279999,73.849998,81.989998,81.989998,1168263000
2020-10-01,83.059998,88.720001,74.230003,75.290001,75.290001,1181118000
2020-11-01,75.849998,92.739998,73.760002,92.660004,92.660004,907041400
2020-12-01,92.250000,97.980003,89.029999,91.709999,91.709999,848701400
2021-01-01,92.110001,99.230003,85.019997,85.639999,85.639999,997848700
